STATEID,observations,r2,rmse,mae
20,132,0.8806452793085437,143.09960578237914,112.81625477484799
46,38,0.681597820683608,147.68426144053802,122.40857639831539
16,47,0.6150343187311298,153.4075246211301,114.51283629187037
28,105,0.6946624203181375,153.99347203713327,122.1409848389322
19,127,0.5966907965472856,155.4790333107754,121.74687176961905
47,253,0.7874764886561543,159.48213534165725,113.7036461498621
55,192,0.7911350389563336,164.70729979592855,122.03372377096862
54,96,0.6021876703392925,167.1603137211181,135.01552884600275
5,92,0.6061754308205862,167.59296189991602,131.69218961695634
23,60,0.7821291278212676,170.94093139610078,136.0575057680529
39,444,0.7808509836574461,171.45527564314833,129.87822041045854
29,232,0.8398345897498789,172.67901430483872,127.48896513714494
31,84,0.8468836664616641,179.71168960660566,137.5295281823665
30,40,0.5100626989899393,180.36671259793945,146.93085684300559
1,200,0.6493236899272828,181.00575136059805,132.5012861618655
40,178,0.7369659001736816,182.13444020577185,130.511272318338
27,197,0.7351215902249344,187.29479136540613,139.52292782580878
21,171,0.5968918249774997,187.68563484230177,139.0015968453797
18,226,0.5156808951162869,187.86377915482018,131.88663642551634
37,333,0.7459801315916573,190.9363064250624,143.76203330479825
10,37,0.6315352919015045,193.96782360481993,139.90962321760992
26,414,0.7576868464019543,196.1982183789057,133.92568241909942
45,161,0.6511949452740353,198.01051812313847,146.25114331080587
8,181,0.7997504105243805,203.2876876784243,157.16360279375687
72,160,0.5363109308993658,206.59789749492515,137.69549600555726
50,31,0.34745216138886625,207.32188581709164,142.972956463094
4,252,0.6735114444832142,214.06089274690103,150.8582370968716
24,223,0.8541720031408364,215.12514461382654,163.90295394060746
41,132,0.693644485293526,217.72974870840125,158.62799655590936
13,293,0.7473156171584716,218.91508983509448,145.80279789880265
53,262,0.7801613324971766,226.421406901008,176.47173845872527
42,498,0.8012807851063657,227.7039930918359,160.0895782901344
49,96,0.7334100507716368,229.08955487572547,159.81355915017264
51,308,0.8571301150768198,230.42755504056052,171.75247959615365
22,175,0.6778876379383856,232.06216987892984,162.73909013102391
48,793,0.8358339230415878,232.98501130771726,157.10942768194468
44,35,0.49326744352986474,245.56050904806443,199.83240288068873
17,475,0.8021968105725732,251.87864923922214,198.3214743157274
33,45,0.15344419936088916,255.37582095043308,217.11855041883837
9,115,0.7466223655554955,286.62790873439883,203.6662603711851
25,222,0.6259691259693682,287.81700974597794,213.25727711622187
35,90,0.5803231057318516,295.4283314500917,198.86683320172128
12,668,0.7164854591007319,296.5117026775489,211.7277830016986
6,1238,0.777140314887217,298.1680588583275,225.4514151847712
32,105,0.5671609808096651,299.35591982483186,196.1100667858744
34,303,0.6470484422667371,315.8253244054797,249.20656005895935
15,40,0.08518519987382811,341.41978073421524,270.1981249076679
11,31,0.6945614760947902,380.6833711054381,299.3434290830149
36,728,0.6735302129854706,441.1824916222312,321.06439795390645
