model,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
RandomForestRegressor,0.833802638011378,0.007153107576315389,253.66598674247362,6.45176108156305,178.0430548623106,2.4455286447879527
Ridge,0.8171078135192932,0.0077234148879302385,266.08327400271065,5.746907379306385,187.48191416572973,2.355275705083824
LinearRegression,0.8171059162594393,0.007729394315196879,266.08455168066126,5.749727927347057,187.47908090608917,2.343060200925909
DummyRegressor,-0.0001937677889985334,0.00017526919391191577,622.4488205375358,9.197992770768169,498.4305255217508,7.516914725847202
